CVE,CVSS3,EPSS,EPSS Percentile,Description,Vendor,Product
CVE-2022-48503,8.8,0.00183,0.4042,"Apple macOS, iOS, tvOS, Safari, and watchOS contain an unspecified vulnerability in JavaScriptCore that when processing web content may lead to arbitrary code execution. The impacted product could be end-of-life (EoL) and/or end-of-service (EoS). Users should discontinue product utilization.",Apple,Multiple Products
CVE-2025-2746,9.8,0.868,0.99411,Kentico Xperience CMS contains an authentication bypass using an alternate path or channel vulnerability that could allow an attacker to control administrative objects.,Kentico,Xperience CMS
CVE-2025-2747,9.8,0.88452,0.99485,Kentico Xperience CMS contains an authentication bypass using an alternate path or channel vulnerability that could allow an attacker to control administrative objects.,Kentico,Xperience CMS
CVE-2025-33073,8.8,0.51186,0.97782,Microsoft Windows SMB Client contains an improper access control vulnerability that could allow for privilege escalation. An attacker could execute a specially crafted malicious script to coerce the victim machine to connect back to the attack system using SMB and authenticate.,Microsoft,Windows
CVE-2025-61884,7.5,0.42933,0.97379,Oracle E-Business Suite contains a server-side request forgery (SSRF) vulnerability in the Runtime component of Oracle Configurator. This vulnerability is remotely exploitable without authentication.,Oracle,E-Business Suite
CVE-2025-54253,10.0,0.55684,0.98001,Adobe Experience Manager Forms in JEE contains an unspecified vulnerability that allows for arbitrary code execution.,Adobe,Experience Manager (AEM) Forms
CVE-2025-47827,4.6,0.0074,0.72507,"IGEL OS contains a use of a key past its expiration date vulnerability that allows for Secure Boot bypass. The igel-flash-driver module improperly verifies a cryptographic signature. Ultimately, a crafted root filesystem can be mounted from an unverified SquashFS image.",IGEL,IGEL OS
CVE-2025-24990,7.8,0.06154,0.90571,Microsoft Windows Agere Modem Driver contains an untrusted pointer dereference vulnerability that allows for privilege escalation. An attacker who successfully exploited this vulnerability could gain administrator privileges.,Microsoft,Windows
CVE-2025-59230,7.8,0.09612,0.9266,Microsoft Windows contains an improper access control vulnerability in Windows Remote Access Connection Manager which could allow an authorized attacker to elevate privileges locally.,Microsoft,Windows
CVE-2016-7836,9.8,0.35342,0.96927,SKYSEA Client View contains an improper authentication vulnerability that allows remote code execution via a flaw in processing authentication on the TCP connection with the management console program.,SKYSEA,Client View
CVE-2021-43798,7.5,0.94422,0.99981,Grafana contains a path traversal vulnerability that could allow access to local files.,Grafana Labs,Grafana
CVE-2025-27915,5.4,0.29359,0.96462,"Synacor Zimbra Collaboration Suite (ZCS) contains a cross-site scripting vulnerability that exists in the Classic Web Client due to insufficient sanitization of HTML content in ICS files. When a user views an e-mail message containing a malicious ICS entry, its embedded JavaScript executes via an ontoggle event inside a tag. This allows an attacker to run arbitrary JavaScript within the victim's session, potentially leading to unauthorized actions such as setting e-mail filters to redirect messages to an attacker-controlled address. As a result, an attacker can perform unauthorized actions on the victim's account, including e-mail redirection and data exfiltration.",Synacor,Zimbra Collaboration Suite (ZCS)
CVE-2021-22555,8.3,0.85339,0.99342,Linux Kernel contains a heap out-of-bounds write vulnerability that could allow an attacker to gain privileges or cause a DoS (via heap memory corruption) through user name space.,Linux,Kernel
CVE-2010-3962,8.1,0.87119,0.99428,Microsoft Internet Explorer contains an uninitialized memory corruption vulnerability that could allow for remote code execution. The impacted product could be end-of-life (EoL) and/or end-of-service (EoS). Users should discontinue product utilization.,Microsoft,Internet Explorer
CVE-2021-43226,7.8,0.1198,0.93569,"Microsoft Windows Common Log File System Driver contains a privilege escalation vulnerability that could allow a local, privileged attacker to bypass certain security mechanisms.",Microsoft,Windows
CVE-2013-3918,8.8,0.87059,0.99424,"Microsoft Windows contains an out-of-bounds write vulnerability in the InformationCardSigninHelper Class ActiveX control, icardie.dll. An attacker could exploit the vulnerability by constructing a specially crafted webpage. When a user views the webpage, the vulnerability could allow remote code execution. An attacker who successfully exploited this vulnerability could gain the same user rights as the current user. The impacted product could be end-of-life (EoL) and/or end-of-service (EoS). Users should discontinue product utilization.",Microsoft,Windows
CVE-2011-3402,8.8,0.89217,0.99526,Microsoft Windows Kernel contains an unspecified vulnerability in the TrueType font parsing engine in win32k.sys in the kernel-mode drivers that allows remote attackers to execute arbitrary code via crafted font data in a Word document or web page.,Microsoft,Windows
CVE-2010-3765,9.8,0.87952,0.99463,"Mozilla Firefox, SeaMonkey, and Thunderbird contain an unspecified vulnerability when JavaScript is enabled. This allows remote attackers to execute arbitrary code via vectors related to nsCSSFrameConstructor::ContentAppended, the appendChild method, incorrect index tracking, and the creation of multiple frames, which triggers memory corruption.",Mozilla,Multiple Products
CVE-2025-61882,9.8,0.7653,0.98906,Oracle E-Business Suite contains an unspecified vulnerability in the BI Publisher Integration component. The vulnerability allows unauthenticated attacker with network access via HTTP to compromise Oracle Concurrent Processing. Successful attacks can result in takeover of Oracle Concurrent Processing.,Oracle,E-Business Suite
CVE-2014-6278,8.8,0.89925,0.99562,GNU Bash contains an OS command injection vulnerability which allows remote attackers to execute arbitrary commands via a crafted environment.,GNU,GNU Bash
CVE-2017-1000353,9.8,0.94508,1.0,"Jenkins contains a remote code execution vulnerability. This vulnerability that could allowed attackers to transfer a serialized Java SignedObject object to the remoting-based Jenkins CLI, that would be deserialized using a new ObjectInputStream, bypassing the existing blocklist-based protection mechanism.",Jenkins,Jenkins
CVE-2015-7755,9.8,0.88724,0.99495,Juniper ScreenOS contains an improper authentication vulnerability that could allow unauthorized remote administrative access to the device.,Juniper,ScreenOS
CVE-2025-21043,8.8,0.11152,0.93284,Samsung mobile devices contain an out-of-bounds write vulnerability in libimagecodec.quram.so which allows remote attackers to execute arbitrary code.,Samsung,Mobile Devices
CVE-2025-4008,8.8,0.44461,0.97455,Smartbedded Meteobridge contains a command injection vulnerability that could allow remote unauthenticated attackers to gain arbitrary command execution with elevated privileges (root) on affected devices.,Smartbedded,Meteobridge
CVE-2025-32463,9.3,0.18491,0.95068,"Sudo contains an inclusion of functionality from untrusted control sphere vulnerability. This vulnerability could allow local attacker to leverage sudo’s -R (--chroot) option to run arbitrary commands as root, even if they are not listed in the sudoers file.",Sudo,Sudo
CVE-2025-59689,6.1,0.11361,0.93363,Libraesva Email Security Gateway (ESG) contains a command injection vulnerability which allows command injection via a compressed e-mail attachment.,Libraesva,Email Security Gateway
CVE-2025-10035,10.0,0.57754,0.98092,"Fortra GoAnywhere MFT contains a deserialization of untrusted data vulnerability allows an actor with a validly forged license response signature to deserialize an arbitrary actor-controlled object, possibly leading to command injection.",Fortra,GoAnywhere MFT
CVE-2025-20352,7.7,0.01653,0.81652,"Cisco IOS and IOS XE contains a stack-based buffer overflow vulnerability in the Simple Network Management Protocol (SNMP) subsystem that could allow for denial of service or remote code execution. A successful exploit could allow a low-privileged attacker to cause the affected system to reload, resulting in a DoS condition, or allow a high-privileged attacker to execute arbitrary code as the root user and obtain full control of the affected system.",Cisco,IOS and IOS XE
CVE-2021-21311,7.2,0.93803,0.99851,"Adminer contains a server-side request forgery vulnerability that, when exploited, allows a remote attacker to obtain potentially sensitive information.",Adminer,Adminer
CVE-2025-20362,6.5,0.23047,0.95763,Cisco Secure Firewall Adaptive Security (ASA) Appliance and Secure Firewall Threat Defense (FTD) Software VPN Web Server contain a missing authorization vulnerability. This vulnerability could be chained with CVE-2025-20333.,Cisco,Secure Firewall Adaptive Security Appliance and Secure Firewall Threat Defense
CVE-2025-20333,9.9,0.05343,0.89818,Cisco Secure Firewall Adaptive Security (ASA) Appliance and Secure Firewall Threat Defense (FTD) Software VPN Web Server contain a buffer overflow vulnerability that allows for remote code execution. This vulnerability could be chained with CVE-2025-20362.,Cisco,Secure Firewall Adaptive Security Appliance and Secure Firewall Threat Defense
CVE-2025-10585,9.8,0.00953,0.75993,Google Chromium contains a type confusion vulnerability in the V8 JavaScript and WebAssembly engine.,Google,Chromium V8
CVE-2025-5086,9.0,0.45387,0.97502,Dassault Systèmes DELMIA Apriso contains a deserialization of untrusted data vulnerability that could lead to a remote code execution.,Dassault Systèmes,DELMIA Apriso
CVE-2025-38352,7.4,0.00192,0.41475,"Linux kernel contains a time-of-check time-of-use (TOCTOU) race condition vulnerability that has a high impact on confidentiality, integrity, and availability.",Linux,Kernel
CVE-2025-48543,8.8,0.00307,0.53613,Android Runtime contains a use-after-free vulnerability potentially allowing a chrome sandbox escape leading to local privilege escalation.,Android,Runtime
CVE-2025-53690,9.0,0.08901,0.92347,"Sitecore Experience Manager (XM), Experience Platform (XP), Experience Commerce (XC), and Managed Cloud contain a deserialization of untrusted data vulnerability involving the use of default machine keys. This flaw allows attackers to exploit exposed ASP.NET machine keys to achieve remote code execution. ",Sitecore,Multiple Products
CVE-2023-50224,,0.02373,0.84597,"TP-Link TL-WR841N contains an authentication bypass by spoofing vulnerability within the httpd service, which listens on TCP port 80 by default, leading to the disclose of stored credentials. The impacted products could be end-of-life (EoL) and/or end-of-service (EoS). Users should discontinue product utilization.",TP-Link,TL-WR841N
CVE-2025-9377,7.2,0.19076,0.9517,TP-Link Archer C7(EU) and TL-WR841N/ND(MS) contain an OS command injection vulnerability that exists in the Parental Control page. The impacted products could be end-of-life (EoL) and/or end-of-service (EoS). Users should discontinue product utilization.,TP-Link,Multiple Routers
CVE-2020-24363,8.8,0.16201,0.94634,TP-link TL-WA855RE contains a missing authentication for critical function vulnerability. This vulnerability could allow an unauthenticated attacker (on the same network) to submit a TDDP_RESET POST request for a factory reset and reboot. The attacker can then obtain incorrect access control by setting a new administrative password. The impacted products could be end-of-life (EoL) and/or end-of-service (EoS). Users should discontinue product utilization.,TP-Link,TL-WA855RE
CVE-2025-55177,5.4,0.01378,0.79928,Meta Platforms WhatsApp contains an incorrect authorization vulnerability due to an incomplete authorization of linked device synchronization messages. This vulnerability could allow an unrelated user to trigger processing of content from an arbitrary URL on a target’s device.,Meta Platforms,WhatsApp
CVE-2025-57819,9.8,0.73507,0.98769,Sangoma FreePBX contains an authentication bypass vulnerability due to insufficiently sanitized user-supplied data allows unauthenticated access to FreePBX Administrator leading to arbitrary database manipulation and remote code execution.,Sangoma,FreePBX
CVE-2025-7775,9.8,0.16388,0.94683,Citrix NetScaler ADC and NetScaler Gateway contain a memory overflow vulnerability that could allow for remote code execution and/or denial of service.,Citrix,NetScaler
CVE-2025-48384,8.0,0.00458,0.63583,Git contains a link following vulnerability that stems from Git’s inconsistent handling of carriage return characters in configuration files.,Git,Git
CVE-2024-8068,8.0,0.08987,0.92392,Citrix Session Recording contains an improper privilege management vulnerability that could allow for privilege escalation to NetworkService Account access. An attacker must be an authenticated user in the same Windows Active Directory domain as the session recording server domain.,Citrix,Session Recording
CVE-2024-8069,8.0,0.46249,0.97554,Citrix Session Recording contains a deserialization of untrusted data vulnerability that allows limited remote code execution with privilege of a NetworkService Account access. Attacker must be an authenticated user on the same intranet as the session recording server.,Citrix,Session Recording
CVE-2025-43300,10.0,0.00879,0.74942,"Apple iOS, iPadOS, and macOS contain an out-of-bounds write vulnerability in the Image I/O framework.",Apple,"iOS, iPadOS, and macOS"
CVE-2025-54948,9.4,0.19048,0.95162,Trend Micro Apex One Management Console (on-premise) contains an OS command injection vulnerability that could allow a pre-authenticated remote attacker to upload malicious code and execute commands on affected installations.,Trend Micro,Apex One
CVE-2025-8876,8.8,0.13881,0.94122,N-able N-Central contains a command injection vulnerability via improper sanitization of user input.,N-able,N-Central
CVE-2025-8875,7.8,0.05085,0.89527,N-able N-Central contains an insecure deserialization vulnerability that could lead to command execution.,N-able,N-Central
CVE-2025-8088,8.8,0.03396,0.87116,RARLAB WinRAR contains a path traversal vulnerability affecting the Windows version of WinRAR. This vulnerability could allow an attacker to execute arbitrary code by crafting malicious archive files.,RARLAB,WinRAR
CVE-2007-0671,8.8,0.68363,0.98555,"Microsoft Office Excel contains a remote code execution vulnerability that can be exploited when a specially crafted Excel file is opened. This malicious file could be delivered as an email attachment or hosted on a malicious website. An attacker could leverage this vulnerability by creating a specially crafted Excel file, which, when opened, allowing an attacker to execute remote code on the affected system.",Microsoft,Office
CVE-2013-3893,8.8,0.84815,0.99318,Microsoft Internet Explorer contains a memory corruption vulnerability that allows for remote code execution. The impacted products could be end-of-life (EoL) and/or end-of-service (EoS). Users should discontinue product utilization.,Microsoft,Internet Explorer
CVE-2020-25078,7.5,0.94229,0.99922,D-Link DCS-2530L and DCS-2670L devices contains an unspecified vulnerability that could allow for remote administrator password disclosure. The impacted products could be end-of-life (EoL) and/or end-of-service (EoS). Users should discontinue product utilization.,D-Link,DCS-2530L and DCS-2670L Devices
CVE-2020-25079,8.8,0.4499,0.97484,D-Link DCS-2530L and DCS-2670L devices contains a command injection vulnerability in the cgi-bin/ddns_enc.cgi. The impacted products could be end-of-life (EoL) and/or end-of-service (EoS). Users should discontinue product utilization.,D-Link,DCS-2530L and DCS-2670L Devices
CVE-2022-40799,8.8,0.43771,0.9742,D-Link DNR-322L contains a download of code without integrity check vulnerability that could allow an authenticated attacker to execute OS level commands on the device. The impacted products could be end-of-life (EoL) and/or end-of-service (EoS). Users should discontinue product utilization.,D-Link,DNR-322L
CVE-2023-2533,8.4,0.36322,0.96996,"PaperCut NG/MF contains a cross-site request forgery (CSRF) vulnerability, which, under specific conditions, could potentially enable an attacker to alter security settings or execute arbitrary code. ",PaperCut,NG/MF
CVE-2025-20337,10.0,0.00612,0.69356,Cisco Identity Services Engine contains an injection vulnerability in a specific API of Cisco ISE and Cisco ISE-PIC due to insufficient validation of user-supplied input allowing an attacker to exploit this vulnerability by submitting a crafted API request. Successful exploitation could allow an attacker to perform remote code execution and obtaining root privileges on an affected device.,Cisco,Identity Services Engine
CVE-2025-20281,10.0,0.26728,0.96203,Cisco Identity Services Engine contains an injection vulnerability in a specific API of Cisco ISE and Cisco ISE-PIC due to insufficient validation of user-supplied input allowing an attacker to exploit this vulnerability by submitting a crafted API request. Successful exploitation could allow an attacker to perform remote code execution and obtaining root privileges on an affected device.,Cisco,Identity Services Engine
CVE-2025-2775,9.3,0.65187,0.9842,"SysAid On-Prem contains an improper restriction of XML external entity reference vulnerability in the Checkin processing functionality, allowing for administrator account takeover and file read primitives.",SysAid,SysAid On-Prem
CVE-2025-2776,9.3,0.54128,0.97924,"SysAid On-Prem contains an improper restriction of XML external entity reference vulnerability in the Server URL processing functionality, allowing for administrator account takeover and file read primitives.",SysAid,SysAid On-Prem
CVE-2025-6558,8.8,0.00067,0.21108,"Google Chromium contains an improper input validation vulnerability in ANGLE and GPU. This vulnerability could allow a remote attacker to potentially perform a sandbox escape via a crafted HTML page. This vulnerability could affect multiple web browsers that utilize Chromium, including, but not limited to, Google Chrome, Microsoft Edge, and Opera.",Google,Chromium
CVE-2025-54309,9.0,0.72172,0.9871,"CrushFTP contains an unprotected alternate channel vulnerability. When the DMZ proxy feature is not used, mishandles AS2 validation and consequently allows remote attackers to obtain admin access via HTTPS.",CrushFTP,CrushFTP
CVE-2025-49704,8.8,0.6788,0.98533,"Microsoft SharePoint contains a code injection vulnerability that could allow an authorized attacker to execute code over a network. This vulnerability could be chained with CVE-2025-49706. CVE-2025-53770 is a patch bypass for CVE-2025-49704, and the updates for CVE-2025-53770 include more robust protection than those for CVE-2025-49704.",Microsoft,SharePoint
CVE-2025-49706,6.5,0.74238,0.98804,"Microsoft SharePoint contains an improper authentication vulnerability that allows an authorized attacker to perform spoofing over a network. Successfully exploitation could allow an attacker to view sensitive information and make some changes to disclosed information. This vulnerability could be chained with CVE-2025-49704. CVE-2025-53771 is a patch bypass for CVE-2025-49706, and the updates for CVE-2025-53771 include more robust protection than those for CVE-2025-49706.",Microsoft,SharePoint
CVE-2025-53770,9.8,0.9004,0.99569,"Microsoft SharePoint Server on-premises contains a deserialization of untrusted data vulnerability that could allow an unauthorized attacker to execute code over a network. This vulnerability could be chained with CVE-2025-53771. CVE-2025-53770 is a patch bypass for CVE-2025-49704, and the updates for CVE-2025-53770 include more robust protection than those for CVE-2025-49704.",Microsoft,SharePoint
CVE-2025-25257,9.8,0.67546,0.98523,Fortinet FortiWeb contains a SQL injection vulnerability that may allow an unauthenticated attacker to execute unauthorized SQL code or commands via crafted HTTP or HTTPs requests.,Fortinet,FortiWeb
CVE-2025-47812,10.0,0.924,0.9972,Wing FTP Server contains an improper neutralization of null byte or NUL character vulnerability that can allow injection of arbitrary Lua code into user session files. This can be used to execute arbitrary system commands with the privileges of the FTP service (root or SYSTEM by default).,Wing FTP Server,Wing FTP Server
CVE-2025-5777,7.5,0.77205,0.98938,"Citrix NetScaler ADC and Gateway contain an out-of-bounds read vulnerability due to insufficient input validation. This vulnerability can lead to memory overread when the NetScaler is configured as a Gateway (VPN virtual server, ICA Proxy, CVPN, RDP Proxy) OR AAA virtual server.",Citrix,NetScaler ADC and Gateway
CVE-2019-9621,7.5,0.94119,0.99908,Synacor Zimbra Collaboration Suite (ZCS) contains a server-side request forgery (SSRF) vulnerability via the ProxyServlet component.,Synacor,Zimbra Collaboration Suite (ZCS)
CVE-2019-5418,7.5,0.94331,0.99951,"Rails Ruby on Rails contains a path traversal vulnerability in Action View. Specially crafted accept headers in combination with calls to `render file:` can cause arbitrary files on the target server to be rendered, disclosing the file contents.",Rails,Ruby on Rails
CVE-2016-10033,9.8,0.9447,0.99997,"PHPMailer contains a command injection vulnerability because it fails to sanitize user-supplied input. Specifically, this issue affects the 'mail()' function of 'class.phpmailer.php' script. An attacker can exploit this issue to execute arbitrary code within the context of the application. Failed exploit attempts will result in a denial-of-service condition.",PHP,PHPMailer
CVE-2014-3931,9.8,0.39784,0.97202,Multi-Router Looking Glass (MRLG) contains a buffer overflow vulnerability that could allow remote attackers to cause an arbitrary memory write and memory corruption.,Looking Glass,Multi-Router Looking Glass (MRLG)
CVE-2025-6554,8.1,0.00388,0.59468,"Google Chromium V8 contains a type confusion vulnerability that could allow a remote attacker to perform arbitrary read/write via a crafted HTML page. This vulnerability could affect multiple web browsers that utilize Chromium, including, but not limited to, Google Chrome, Microsoft Edge, and Opera.",Google,Chromium V8
CVE-2025-48928,4.0,0.04423,0.88727,"TeleMessage TM SGNL contains an exposure of core dump file to an unauthorized control sphere Vulnerability. This vulnerability is based on a JSP application in which the heap content is roughly equivalent to a ""core dump"" in which a password previously sent over HTTP would be included in this dump.",TeleMessage,TM SGNL
CVE-2025-48927,5.3,0.04675,0.89043,TeleMessage TM SGNL contains an initialization of a resource with an insecure default vulnerability. This vulnerability relies on how the Spring Boot Actuator is configured with an exposed heap dump endpoint at a /heapdump URI.,TeleMessage,TM SGNL
CVE-2025-6543,9.8,0.03048,0.86335,"Citrix NetScaler ADC and Gateway contain a buffer overflow vulnerability leading to unintended control flow and Denial of Service. NetScaler must be configured as Gateway (VPN virtual server, ICA Proxy, CVPN, RDP Proxy) OR AAA virtual server.",Citrix,NetScaler ADC and Gateway
CVE-2019-6693,6.5,0.70196,0.98632,Fortinet FortiOS contains a use of hard-coded credentials vulnerability that could allow an attacker to cipher sensitive data in FortiOS configuration backup file via knowledge of the hard-coded key. ,Fortinet,FortiOS
CVE-2024-0769,5.3,0.68921,0.98578,D-Link DIR-859 routers contain a path traversal vulnerability in the file /hedwig.cgi of the component HTTP POST Request Handler. Manipulation of the argument service with the input ../../../../htdocs/webinc/getcfg/DHCPS6.BRIDGE-1.xml allows for the leakage of session data potentially enabling privilege escalation and unauthorized control of the device. This vulnerability affects legacy D-Link products. All associated hardware revisions have reached their end-of-life (EOL) or end-of-service (EOS) life cycle and should be retired and replaced per vendor instructions.,D-Link,DIR-859 Router
